Varient_Name,Average_stars,Review_title,User_rating,Review_description
TVS Jupiter,4.4,Good and comfortable scooter.,3,The scooter is good and you can feel the comfort of the scooter when you are riding this scooter.
TVS Radeon,4.5,Great bike.,4,"The bike is comfortable, smooth, and glad to have this machine. It runs comfortably and the brakes work effectively."
TVS Star City Plus,4.4,Good Bike,5,TVs Star City Plus is very good bike and very comfortable for long drive.
TVS Star City Plus,4.4,Superb Mileage.,5,Very Good Bike And its Mileage Is Superb. I am So Happy I cant Believe such bike In The World Exists. Every Indian And also world Wide should use it. I used to go to my office on this bike. Its Cost Is also affordable any common Man can buy this. It gives good mileage as well.
TVS Star City Plus,4.4,Good  Bike,5,"My second bike is TVS Star City plus, which is good comfort and peaceful bike & experience in power and mileage is delicious. Service cost is a very low stylish bike. Quality of the bike is also good. I give rating is 10 out of 10 one thing iron quality is not good rest of thing is excellent."
TVS Apache RTR 160 4V,4.4,RTR 160 2V Is A Very Good Bike,5,RTR 160 2v is a very good bike. I am using regularly this sports bike. I'm very confident to ride.
TVS Apache RTR 160 4V,4.4,Safe Riding with TVS Apache RTR 160 Bike ,5,"My friends recommended me to buy TVS Apache RTR 160 Bike because I like sports bikes and also this bike is available in affordable price with so many features. I am happy about buying this bike. It's very comfortable to ride and provide stability even at high speed, that's why I feel safe while riding this bike."
TVS Apache RTR 160 4V,4.4,Muscular Body ,4,Best bike in 160CC bike Apache 160 4v.
TVS Apache RTR 160 4V,4.4,Nice And Good Looking Bike ,3,Awesome and nice model yhe bike bahut achi hai mera dream bike hai mai ese bahut jyald kardine vala hu.
TVS Apache RTR 160 4V,4.4,Awesome bike,4,"Good performance, good mileage, full smoothness, the braking system is also very good, supermoto ABS awesome working."
TVS Apache RTR 160 4V,4.4,Best Bike Under 160CC Segment,4,"Awesome performance. I love TVS Apache RTR 160 4v bike because of its look muscular with body graphics, LED tail lights, halogen headlights, pilot lamps, etc. Its performance is also very good. It's comfortable to ride and easy maintenance. I am very satisfied with its performance. Best bike under 160CC segment."
TVS Jupiter,4.4,Performance Of The Bike Is Okay.,3,"The performance and lookswise the bike is ok, but the braking system and pickup is not up to the mark. The brake system needs to be improved."
TVS Radeon,4.5,Awesome Bike - TVS Radeon,5,"TVS Radeon is an awesome bike. Very stylish look. Comfortable ridings. Easy to operate, has a very good mileage of 69km. The price is pretty good. I'll prescribe Radeon to every bike user. I can say that TVS Radeon is the best bike for Indian roads. "
TVS Radeon,4.5,Efficient Bike - TVS Radeon,5,"The TVS Radeon is one of those bikes in the market that prefers performance over style. However, this simple yet utilitarian bike gets a smooth engine along with some modern elements like USB charging ports, side-stand indicator and disc brake that help to increase its popularity in the market."
TVS Radeon,4.5,Like a bullet,5,"Excellent bike, very smooth. The looks of the bike are so good, just like a bullet. Very comfortable, mileage is good, the long seat is comfortable. "
TVS Star City Plus,4.4,Most popular bike,5,The model is excellent and completely comfortable for a family good for long drive very good mileage and performance bike
TVS Star City Plus,4.4,Nice bike TVS,5,The bike is nice For riding very nice balance and mileage is great in the city and road gripping is good.
TVS Star City Plus,4.4,Starcity Plus,5,TVS bike is best for daily user good performance and mileage TVS is always a star.
TVS Apache RTR 160 4V,4.4,Great Experience ,5,"Good sporty look and very good build quality. Very good mileage and performance. Breaking is always very good. I love RTR 160 4v. From the last 2 years, I am using this bike. No complaints yet because of proper servicing."
TVS Apache RTR 160 4V,4.4,The Best Sport Bike Ever,4,The best sportbike ever and really enjoyed the ride with this bike style is looking awesome. Love this bike but mileage is very low.
TVS Apache RTR 160 4V,4.4,Stylish Bike,4,"Excellent in all like comfort, design, braking system and LED light and face cut is very aggressive."
TVS Apache RTR 160 4V,4.4,Best Buy For 160CC Segment ,4,"Best bike in 160CC segments. Overall, the experience is a superb and best budget bike by Apache."
TVS Apache RTR 160 4V,4.4,Best bike Ever,5,Machine with perfection. Riding quality and comfort levels are awesome. Features are best in this segment. Best in design and build quality.
TVS Jupiter,4.4,Best Scooter.,5,"Excellent scooter in the segment, ride around 3k km in the last 30 days from purchase and gives mileage of 62 km."
TVS Jupiter,4.4,Over all very nice scooter.,3,Mileage is not up to mark as per the company claim apart nice looks braking systems. Innovative design.
TVS Radeon,4.5,Nice bike,4,"This bike is very comfortable. Mileage is also good, Seating Capacity also very good."
TVS Radeon,4.5,Excellent choice,5,The bike is very good and the riding experience is excellent. Everyone who saw this bike told that it looks similar to Royal Enfield Bullet. The purple color is very attractive. I love this bike.
TVS Star City Plus,4.4,Happy with this bike,5,This is an awesome looking bike and I like this bike very much
TVS Radeon,4.5,It is Good bike,5,"Very good bike! It is better than Splendor, it sounds very good like bullet, its headlight is very good it has very good mileage."
TVS Star City Plus,4.4,I love TVS,4,"I love TVS company that is why I purchased Star City Plus bike it has awesome performance, mileage & very comfortable. "
TVS Apache RTR 160 4V,4.4,Excellent Bike ,5,Awesome pickup.
TVS Apache RTR 160 4V,4.4,Excellent Bike,5,"TVS Apache is one of the superb bikes, it's easily available at the store and comfortable to drive with a smart look."
TVS Apache RTR 160 4V,4.4,Family use and for long drive,5,Nice bike.
TVS Apache RTR 160 4V,4.4,Best bike,5,"I have clocked 5000kms with this bike and have had two services by now. Customer service and buying experience were absolutely seamless. Now about the bike, Power and pick up are the best as compared to other bikes in this segment  and it is  a perfect passenger bike for city rides. In the city, I get to travel it at just an average of 45kmph - 60kmph, its engine sounds very less at that speed, which is very good."
TVS Apache RTR 160 4V,4.4,Charming looks.,5,"This bike is just like a racing bike, comfortable to ride, even at high speed. Looks are fabulous. I really loved this bike. Apart from the bike, services by the company are also appreciable. Maintenance is also average. Slipper clutch, Digital meter, Abs, Top speed, Feature loaded meter, Graphics, and everything else is just great."
TVS Apache RTR 160 4V,4.4,Stylish Bike.,4,"Amazing experience, mileage is Good, looks and performance are too good. Abs braking system is fantastic, very comfortable to ride.TVS Apache RTR 160 4V all bike Colour is very good."
TVS Apache RTR 160 4V,4.4,Great bike.,5,"Apache 160 4V is the best bike for young guys because of its performance and speed. Also, this bike has very good fuel efficiency and pretty comfortable handling. I have noticed a con also in this bike such as it vibrates at high speed."
TVS Apache RTR 160 4V,4.4,Best bike,4,"TVS Apache RTR 160 4V is the best bike in its segment. I've got the BS4 model, which gives a decent mileage of 40-45kmpl after the first service. The bike is a beast in performance and has a nice and bassy exhaust note. Bought the beast for 1.20Lacs and I am really enjoying riding."
TVS Apache RTR 160 4V,4.4,Great bike,3,"Overall the bike is good but the thing was that after free service, I felt that pick up had decreased and even mileage too."
TVS Radeon,4.5,Pleasant and decent commuter,5,"Never expected a commuter bike to be so much pleasure. Having ridden heavy duty 500CC bikes, and having had enough of the bite of the BULL, I wanted a decent and spirited bike. After test driving every possible bike in the Indian market under 2.5lakh Rs range, I finally hooked on to this. I was stunned at its first looks and then by its smooth performance. Hats off to TVS to this wonderful design."
TVS Radeon,4.5,TVS RADEON,5,TVs Radeon bike is very simple and also a super bike because this bike mileage is great and the bike ride is perfect.
TVS Radeon,4.5,I like it,5,I am very happy and it is a very useful bike.
TVS Apache RTR 160 4V,4.4,Awesome Bike,5,"Nice bike, awesome mileage, beautiful look, the awesome braking system with ABS, LED headlight to help me to see clearly in dark night."
TVS Apache RTR 160 4V,4.4,Best Bike,5,Excellent performance in its segment.
TVS Apache RTR 160 4V,4.4,Nice Bike,5,"Very nice ride experience and getting sports feeling on the road when riding it, with nice comfortable seating and smooth engine."
TVS Apache RTR 160 4V,4.4,Powerful Bike.,5,One of the best in class and a perfect bike for both city and long-run purpose.
TVS Apache RTR 160 4V,4.4,Great Bike,4,"This a very good and a sports bike, looks are good and it delivers good mileage."
TVS Apache RTR 160 4V,4.4,Great Bike.,5,"Really very smooth riding experience, gear sifting is not good, well-balanced bike, I have achieved 54 km/ltr mileage in the city area. The nice sporty look of the bike."
TVS Apache RTR 160 4V,4.4,Great Bike,5, Performance is very good and the look is amazing. It is also a comfortable bike.
TVS Apache RTR 160 4V,4.4,Awesome Bike,4,"Overall a good performance, But I think wind glass is missing. But power is better than the 160 CC bikes."
TVS Apache RTR 160 4V,4.4,Economic bike,5,"This bike is a great combo of a sports and economy bike. The engine is a 159cc one and provides great performance. Speed and mileage both are great. It is a great mid-range bike. I would highly recommend it, for youngsters."
TVS Apache RTR 160 4V,4.4,Nice Bike,3,"This bike is an economical thing, I think its value for money but there is some drawback like the blip sound of the exhaust and very loud engine sound."
TVS Apache RTR 160 4V,4.4,Best sportbike in its segment,5,"Always wanted a sportbike, so two months ago I finally came up with purchasing Apache RTR 160 4V. I wasn’t so much sure how would it be. But after two months of my experience, I am truly happy with my decision. It is delivering pretty appreciatable performance with fuel economy of almost 40 kmpl which is perfect for the performance it provides. It is indeed a perfect bike for both city and long-run purpose."
TVS Radeon,4.5,Very Good Bike,4,"Very beautiful bike from TVS, Very powerful engine with great features and performance."
TVS Radeon,4.5,Super and Strong Bike,4,Radeon is a great piece of work. Beautiful colours. Amazing performance. I would love to purchase this bike.
TVS Radeon,4.5,TVS Radeon is BEST,5,"Redon is a better bike compared to hero HF Deluxe and Hero Splendor. Riding is very comfortable, awesome shock absorption. Good looking, each and every inch of the bike looks good. Awesome design and details."
TVS Star City Plus,4.4,Super star+,5,TVs star city plus super raid excellent pickup super maileg condition excellent and super 
TVS Apache RTR 160 4V,4.4,Amazing design.,5,"The TVS Apache RTR 160 4V looks almost similar to its elder sibling (RTR 200 4V), which was a bit disappointing but the disappointment went off when I rode it. The power delivery offered from this bike was far better than any other bike in the same segment. It came with disc brakes, which offered outstanding stopping power."
TVS Apache RTR 160 4V,4.4,Very Good Vehicle.,5,Very good bike and it gives me very good mileage. Easy to maintain.
TVS Apache RTR 160 4V,4.4,Perfect sports commuter.,5,"BS6 TVS Apache RTR 160 4V is a perfect bike for me as it offers not only a sporty performance but also a decent fuel economy. It achieves the muscular looks from it’s the elder brother, i.e. the RTR 200 4V. I am very impressed with the new headlight design as it looks not only good but also offers excellent visibility under low light conditions. "
TVS Apache RTR 160 4V,4.4,Good Bike ,5,"Good engine, smooth sound and it have an average mileage of approx 4.5 balance, good vehicle for city  "
TVS Apache RTR 160 4V,4.4,Amazing performer Bike ,4,The bike is amazing but it needs some improvement 
TVS Apache RTR 160 4V,4.4,Superb bike.,4,It's an awesome mid-range bike. It comes with an awesome pickup and ABS is working properly. The overall design is good. 
TVS Apache RTR 160 4V,4.4,Doing well. ,5,The test drive of this bike is superb. Bs6 engine is working is doing well. 
TVS Apache RTR 160 4V,4.4,Great bike.,4,"Good Performance, great fuel economy the bike gives an excellent overall performance, with a peppy acceleration. The overall seating comfort is good and the ABS is also good. The overall Average is 39-40kmpl."
TVS Apache RTR 160 4V,4.4,Good bike .,5,I drive Apache RTR 160. I really feel good while I drive it.
TVS Apache RTR 160 4V,4.4,Awesome bike.,5,The high-speed stability of the bike is amazing. 
TVS Apache RTR 160 4V,4.4,Great bike.,4,The performance of the bike is superb with a refined engine.
TVS Radeon,4.5,TVS Radeon,4,Very happy with TVS company a new model TVS Radeon bike launch and I am about to purchase it. Thanks to TVS.
TVS Radeon,4.5,Excellent bike of 2019,5,"Super bike, Super performance,Cost effective high performance low price"
TVS Radeon,4.5,Milage And price,4,GOOD ON MILEAGE AT PRESENT AND ALSO PRICE KEPT LOW COMBINATION IS GOOD.  
TVS Radeon,4.5,kamallipasarkar@gmail.com,5,"Is bike ka market me bahut name hain, ek to mileage or eska engine  bahut Damdar hai  aur keemat bhi kam hai."
TVS Radeon,4.5,TVS Radeon,4,"I am loving TVS Radeon. Good mileage, riding performance and braking system is also good, better than Hero Splendor and Honda Shine, etc. Customer services are also good. Thank you."
TVS Apache RTR 160 4V,4.4,Most premium Bike,5,"Among all the current 160cc sportbikes, the TVS Apache RTR 160 4V BS6 has got the best road presence with the Italian styling with new LED headlamp, Stylish fuel tank and features like shockers and fully digital instrument console."
TVS Apache RTR 160 4V,4.4,Best Looking bike with bs6 engine  ,5,The BS-VI version continues to be as good before. The bike looks even greater than earlier. TVS has ensured that the performance doesn’t suffer at the cost of emission.  The engine now is smoother with barely any vibrations event at a higher rpm. The pricing too is a killer.
TVS Apache RTR 160 4V,4.4,TVS Apache RTR 160 4V – the well deserved changes are welcomed,5,"The TVS Apache RTR 160 4V is very much likable for the fact that it looks exactly like the 200cc counterpart, with a more economic engine and better seating comfort over the latter, which is a boon for commuters on a daily basis."
TVS Apache RTR 160 4V,4.4,TVS Apache RTR 160 4V,3,"Great pickup and sporty performance. But on the flip side, the 160V suffers from engine vibrations. Also, it’s not much comfort for long rides. There’s also an engine overheating problem. "
TVS Apache RTR 160 4V,4.4,Superb performance bike.,5,"Superb performance bike, mileage of this bike is good and performance is superb."
TVS Apache RTR 160 4V,4.4,Best bike ever.,5,"Superb performance bike, the bike good fuel economy and superb performance."
TVS Radeon,4.5,This bike made me better judge/ selector,5,Tvs radeon is better from all angles than other bikes..but i feel if its height becomes same as of splendor or adjustsble then it can lead all bikes in market....
TVS Apache RTR 160 4V,4.4,Amazing bike and Good Performance,4,"Very good bike in 160cc, after using it for 3 months 3000kms. Performance is very good with 40kmpl average. The highest speed I went to is about 115 but it was smooth n ready for pick up more  Headlight should have been led. I used to have Yamaha fzs. Which is same as TVS Apache 160 4v. If u compare with FSZ then FZS is 20 and Apache is 19. With very little difference. "
TVS Apache RTR 160 4V,4.4,Rider bike,5,It's premium design gives a awesome look.Overall performance and looks make the bike special.So the bike is for the rider like me.
TVS Radeon,4.5,TVS radeon,5,Bike look is excellent and having nice  side pads to tank . 
TVS Radeon,4.5,excellent bike of 2018,5,"the best bike of 2018. I am running since last 20 days and it run 550 km, 1st service is due now, millage looks to be more than 65 km per liter that is excellent, company has not provided side stand buzzer, and tool box/ first aid box is not there, but overall very good strong, comfortable and economical"
TVS Apache RTR 160 4V,4.4,Great bike.,5,The bike really amazing with great experience.
TVS Radeon,4.5,TVS radeon be Ready always to Ride with comfort and don&#39;t worry about petrol . ,5,"Good bike to ride in city , highway . Nice look side pads to tank is good looking , Nice seating comfort and nice cushion and cover is good quality . length bike, never worry about mileage good mileage in city . Good pickup . "
TVS Radeon,4.5,Tvs Radeon bike is super,5,TVS Radeon bike is super Indian bike. I like Radeon
TVS Radeon,4.5,The best tvs bike,5,A very good bike best bike for value of money. Rhe best value of money. The best look ever. 
TVS Radeon,4.5,Tvs ki best bike,5,Tvs ki best bike h ab tak ki sbhi 100cc aur 125  mein se.
TVS Radeon,4.5,Total best bike suprb..,5,"Best suspension , best seat , best led drl , total best bike "
TVS Radeon,4.5,Ti vs Radeon best bike I am ramashray Varanasi.,5,Very nice bike with fantastic looking and great sound and with 
TVS Apache RTR 160 4V,4.4,Awesome bike.,5,Ultimate bike with an amazing performance. Best for the city and long trip rides as it has a satisfying handling.
TVS Apache RTR 160 4V,4.4,Great bike.,4,Amazing speed and mileage.
TVS Apache RTR 160 4V,4.4,TVS Apache RTR 160 4V BS-6 - Better in many ways than the BS-4 model,5,"I just took a test ride of the updated BS-6 compliant TVS Apache RTR 160 4V today. Having already ridden the BS-4 model in the past, I still couldn’t find much difference in the power pickup. Nevertheless, the new LED headlamp looks stunning and gives the bike a muscular look."
TVS Apache RTR 160 4V,4.4,Great looks.,5,It has an amazing look with beautiful graphics. The look of the headlight is better when compared to other bikes in the segment. The honking sounds are unique and attractive.
TVS Apache RTR 160 4V,4.4,The best bike in its segment.,4,I have driven the bike for almost 3 months and this bike made these past months memorable for me. The looks and the power is commendable.
TVS Apache RTR 160 4V,4.4,Amazing experience.,5,It's amazing in driving and balance is like MIG20 Indian Airforce Fighter Plane.
TVS Apache RTR 160 4V,4.4,Great bike.,4,Great bike as the controlling power is amazing. Highly recommended.
TVS Apache RTR 160 4V,4.4,Amazing bike.,5,Superb performance and value for money bike. Amazing mileage it churns.
TVS Apache RTR 160 4V,4.4,Amazing experience.,5,"Very nice riding experience, great speed, amazing control."
TVS Apache RTR 160 4V,4.4,The top class pickup.,5,Nice bike with a top-class pickup and the engine is so powerful when compared to others in the segment. The overall look is very excellent.
TVS Apache RTR 160 4V,4.4,Best version of the year 2019 Bikes,5,Good riding with the anti-lock braking system and good looking for riding on bike love this blue colour and update version than old version good mileage well screen display well seat locker space and wheels and speed bike.
TVS Apache RTR 160 4V,4.4,Awesome bike.,5,Very nice riding experience with smooth driving and easy pickup. It's braking and fuel system is awesome.
TVS Apache RTR 160 4V,4.4,Great bike.,5,Nice pickup and great speed with ultimate performance.
TVS Apache RTR 160 4V,4.4,Good performance with poor fuel economy,4,"My TVS Apache RTR 160 4V is with me since January 2019 and honestly speaking, the bike hasn’t created an issue for me yet. Its engine is very refined and the ride quality as a whole is very good due to high-quality suspension and a comfort seat. The only problem is the low fuel economy of 36-38kmpl."
TVS Apache RTR 160 4V,4.4,The powerful bike.,5,I think TVS Apache RTR 160 4V is one of the best racing and powerful bike in India at this price.
TVS Apache RTR 160 4V,4.4,Not Worth It.,1,Last year I purchased this bike. I have faced a lot of problems. Showroom services are not good. Pickup and starting problem and the digital meter doesn't work. The petrol tank lock is also not working etc.
TVS Apache RTR 160 4V,4.4,Favorite Bike - TVS Apache RTR 160 4V,5,My favorite bike is TVS Apache RTR 160 4V. It is nice looking bike. 
TVS Apache RTR 160 4V,4.4,Excellent Bike - TVS Apache RTR 160 4V,5,One of the best bike in 150-160 segment with good (40-45 kmpl ) mileage and refined engine.
TVS Apache RTR 160 4V,4.4,Fabulous Bike - TVS Apache RTR 160 4V,5,Fabulous bike color are so good it must be high-speed braking system is powerful. TVS Apache RTR 160 4V is awesome. 
TVS Apache RTR 160 4V,4.4,Best performance ,5,The performance of the bike is amazing and there are zero negative points about the bike. 
TVS Apache RTR 160 4V,4.4,Amazing experience.,5,"TVS APACHE RTR 160 4V is an awesome bike. It has quite a powerful engine, a very smooth while riding and great handling. This bike is really worth of money 👍👍"
TVS Apache RTR 160 4V,4.4,Best performance ever.,5,Amazing experience with the bike. Highly recommended.
TVS Apache RTR 160 4V,4.4,Nice Bike - TVS Apache RTR 160 4V,5,This is a good bike for running and I am so happy because I buy this bike. This bike is good looking and fantastic. 
TVS Apache RTR 160 4V,4.4,Facing trouoble with the bike.,5,I am facing this weird problem with my TVS Apache RTR 160 4V of instrument cluster flickering. It is not regular but every once in awhile the instrument cluster of my TVS Apache RTR 160 4V starts flickering and even shuts down for a few seconds.
TVS Apache RTR 160 4V,4.4,Great bike,4,My TVS Apache RTR 160 Race Edition dual-disc is simply stunning. The orange accents further enhance the overall appearance of the motorcycle. The performance is also very good as I have touched even 115 kmph with the bike. The only problem for me is the vibrations which start creeping in as soon as I cross 80 kmph.
TVS Apache RTR 160 4V,4.4,Excellent.,5,The pick-up and mileage fo the vehicle is Excellent. Breaking is very very superb. Engine voice is very low. It is an amazing experience to drive this vehicle.
TVS Apache RTR 160 4V,4.4,Apache 160 4v - 1 month usage review,4,"Used for one month, 650km engine refinement is good when compared to the previous version. Braking should be better. Excellent gear shift, best in class. Awesome handling in traffic, instant pickup. Mileage - 40-42kmpl, may increase after the first service."
TVS Apache RTR 160 4V,4.4,Nice bike,5,The bike is very nice. The mileage is up to the mark and is a very smooth bike. Handling is very comfortable.
TVS Apache RTR 160 4V,4.4,An awesome bike.,5,Very smooth drive. Its disc brake is amazing.
TVS Apache RTR 160 4V,4.4,Mileage is not up to the mark.,3,"Amazing speed and performance so far. The suspension is also wonderful, however, I have given 3 stars due to its mileage which is very less and 30kmpl is not up to the mark."
TVS Apache RTR 160 4V,4.4,Fabulous bike.,5,Only one word - mind-blowing. Everything is too good and looks amazing.
TVS Apache RTR 160 4V,4.4,Fabulous  Liked TVS  Apache RTR 160 4V,5,"Only one word I want to say mind-blowing, everything is good. The looks are amazing and sound is also good, I liked this bike and very smooth and comfortable to ride and when you ride this bike then you feel like a superhero."
TVS Apache RTR 160 4V,4.4,Dream bike,5,"I drive my 160 4v. I am not a racer, I buy this bike for the long route. Every week I travel 300 km. Every formal man can buy it because of the bike's look, it is very good. It can save your time than other bikes, it's rear seat is not that high, ladies are comfortable with this bike. It is my dream bike."
TVS Apache RTR 160 4V,4.4, A Cut Above The Rest - TVS Apache RTR 160 4V ,5,"The TVS Apache RTR 160 4V is one firecracker of a performer – it feels quite powerful for the segment to which it belongs. In addition, its big-bike appeal with much of the design elements and features shared with bigger RTR 200 is endearing too."
TVS Apache RTR 160 4V,4.4,Perfect choice in 150 cc series - TVS Apache RTR 160 4V,5,"TVS Apache has better performance, smooth handling, excellent controls, pick up at the initial stage is very good. Most useful features in the display."
TVS Apache RTR 160 4V,4.4,Service Is Very Bad And Too Much Waiting In Showroom - TVS Apache RTR 160 4V,1,TVS Apache Service made few damages in my bike horse logo and clutch gear and TVS Apache 160 name on the tank very bad and petrol reading is slow.
TVS Apache RTR 160 4V,4.4,Great by the way ,1,She s really an awesome beast. 
TVS Apache RTR 160 4V,4.4,Best choice ever apache. ,2,"Wonderful bike best experience till I had.  Awesome Feeling when I drive,  fully sportive feature. Made for the race. "
TVS Apache RTR 160 4V,4.4,The Boss - TVS Apache RTR 160 4V	,4,"TVS Apache RTR 160 4V is very smooth and ABS makes the ride very safe. Pickup is very good, accordingly 160cc engine and it's headlights makes it biking for a new generation."
TVS Apache RTR 160 4V,4.4,Racing Bike - TVS Apache RTR 160 4V	,5,"TVS Apache RTR 160 4V has got awesome graphics, awesome look, pickup is so better, ABS and all features are cool and handling is soft."
TVS Apache RTR 160 4V,4.4,Excellent bike ,5,"Very smooth and good looking bike. I am very happy with this bike. After using it for 1 month, I can say everyone can buy this bike."
